Core: hps_sdram_p0 - Instance: soc_system_inst|hps_0|hps_io|border|hps_sdram_inst
Path, Setup Margin, Hold Margin
"Address Command (Slow 1100mV 85C Model)",0.603,0.587
"Bus Turnaround Time (Slow 1100mV 85C Model)",3.333,--
"Core (Slow 1100mV 85C Model)",1.73,0.143
"Core Recovery/Removal (Slow 1100mV 85C Model)",3.375,0.47
"DQS vs CK (Slow 1100mV 85C Model)",0.627,0.314
"Postamble (Slow 1100mV 85C Model)",0.489,0.489
"Read Capture (Slow 1100mV 85C Model)",0.2,0.152
"Write (Slow 1100mV 85C Model)",0.138,0.198
"Address Command (Slow 1100mV 0C Model)",0.59,0.585
"Bus Turnaround Time (Slow 1100mV 0C Model)",3.36,--
"Core (Slow 1100mV 0C Model)",1.727,0.162
"Core Recovery/Removal (Slow 1100mV 0C Model)",3.468,0.46
"DQS vs CK (Slow 1100mV 0C Model)",0.633,0.353
"Postamble (Slow 1100mV 0C Model)",0.475,0.475
"Read Capture (Slow 1100mV 0C Model)",0.216,0.169
"Write (Slow 1100mV 0C Model)",0.145,0.209
"Address Command (Fast 1100mV 85C Model)",0.629,0.642
"Bus Turnaround Time (Fast 1100mV 85C Model)",3.469,--
"Core (Fast 1100mV 85C Model)",2.11,0.084
"Core Recovery/Removal (Fast 1100mV 85C Model)",3.727,0.497
"DQS vs CK (Fast 1100mV 85C Model)",0.69,0.45
"Postamble (Fast 1100mV 85C Model)",0.591,0.591
"Read Capture (Fast 1100mV 85C Model)",0.336,0.289
"Write (Fast 1100mV 85C Model)",0.228,0.267
"Address Command (Fast 1100mV 0C Model)",0.597,0.676
"Bus Turnaround Time (Fast 1100mV 0C Model)",3.482,--
"Core (Fast 1100mV 0C Model)",2.11,0.077
"Core Recovery/Removal (Fast 1100mV 0C Model)",3.825,0.473
"DQS vs CK (Fast 1100mV 0C Model)",0.687,0.478
"Postamble (Fast 1100mV 0C Model)",0.596,0.596
"Read Capture (Fast 1100mV 0C Model)",0.337,0.29
"Write (Fast 1100mV 0C Model)",0.221,0.281
